"","palabra","freq","magrado","mactivacion","mimag"
"1","casos",96,NA,NA,NA
"2","salud",84,2.6,1.6,2.6
"3","covid",80,NA,NA,NA
"4","coronavirus",77,NA,NA,NA
"5","virus",63,NA,NA,NA
"6","medidas",59,NA,NA,NA
"7","país",53,2.2,1.8,2.8
"8","aislamiento",50,NA,NA,NA
"9","personas",50,NA,NA,NA
"10","cuarentena",48,NA,NA,NA
"11","nacional",44,2.4,2.2,2.8
"12","pandemia",43,NA,NA,NA
"13","gobierno",42,2,2.6667,2.8333
"14","social",42,2.4,2,2
"15","provincia",41,2.6,2,2.8
"16","marzo",38,NA,NA,NA
"17","situación",37,2,2,1.6
"18","argentina",36,NA,NA,NA
"19","confirmados",36,NA,NA,NA
"20","ciudad",34,2.4,2.4,3
"21","ministerio",34,1.8,1.6,2.2
"22","caso",33,2,1.8,1.4
"23","lapampa",33,NA,NA,NA
"24","días",32,NA,NA,NA
"25","china",30,NA,NA,NA
"26","día",30,2.4,2.2,3
"27","fin",29,2,2.2,2.2
"28","gente",29,2.4,2.2,3
"29","momento",29,2.2,1.6,1.8
"30","santarosa",29,NA,NA,NA
"31","circulación",28,NA,NA,NA
"32","propagación",28,NA,NA,NA
"33","además",27,NA,NA,NA
"34","dos",27,NA,NA,NA
"35","local",27,2.18335,1.81665,2.3
"36","según",27,NA,NA,NA
"37","contacto",26,2.6667,2.6667,2.5
"38","crisis",26,2,2.4,2.4
"39","hacer",26,2.4,3,2.8
"40","provincial",26,2.2,2,2.4
"41","unidos",26,NA,NA,NA
"42","autoridades",25,NA,NA,NA
"43","persona",25,2.4,2.6,2.8
"44","población",25,NA,NA,NA
"45","sanitaria",25,NA,NA,NA
"46","transmisión",25,2,2.6,1.8
"47","ahora",24,NA,NA,NA
"48","general",24,2.2,1.8,1.9
"49","total",24,2,1.8,1.6
"50","ayer",23,NA,NA,NA
